content,score
"saya baru pertama kali daftar tokopedia tapi udah banyak masalah mulai dari gopay yang gak bisa dihubungkan dengan tokopedia akhirnya saya chat dgn cfs tokopedia namun saya harus nunggu 2 hari lebih baru dapat balasan ,setelah akun gopay saya tersambung dgn tokopedia saya sama sekali gak dapat gratis ongkir atau bahkan voucer pelanggan baru saya buat keluhan lagi dong ke cfs nya dan saya harus nunggu lagi lamaa banget gak seperti di toko online lain pelayanan tokoledia sangaat lama dan buruk",1
very good,5
nice 👍,4
refund saya sudah 1 minggu tidak kunjung di kembalikan.,1
saya suka app ini sistem bagus nggak ribet dulu pernah belanja disini belum pernah kecewa semoga yang numpang jualan di aplikasi ini pada amanah supaya pengguna betah,5
tampilan discount di layar gede ehh pas checkout zonkkk........😂😂😂😂😂 entah siapa yg modus...,2
"Bertahun² bangun akun seller disini , perjuangan tidak mudah & murah untuk bisa dapatkan pembelian dan reputasi baik disini tiba-tiba dimoderasi permanen tanpa info/peringatan sebelumnya. Kesalahan nya padahal hanya kategori produk. sangat mengecewakan.. sangat sangat mengecewakan , padahal platform ini pun mendapatkan keuntungan dari setiap transaksi yg kami (seller) dapatkan di platform ini. Bahkan untuk mendapatkan pesanan pun tak sedikit biaya ads yg kami keluarkan selama bertahun².",1
"katanya customer service ready 24jam, tapi nunggu dri jam 6 sore sampe jam setengah 12 malam ga ada respon sama sekali.",1
toko ijo memang terbaik,5
lebih suka di tokped ketimbang si oranye,5
mntapss recomended,5
anjinglah...mau daftar aja susah gmna nnti mau belanja....apk apaan ini,1
update terbaru malah tidak bisa bayar dengan metode apapun . . keterangan STATUS BARANG TIDAK AKTIF . .,1
oke,5
"tolong sekali, jangan di persulit untuk verifikasi data diri, cukup menggunakan tahun lahir yg di akun, mau beli kebutuhan yg sifatnya 18+ susah, suruh verif, tp mau verifikasi selalu tidak bs, perbaiki lagi, dan lebih mudah lagi, jangan di persulit, disini membutuhkan.",1
udh jarang banget ada gratisan ongkir,1
"sejak ijo gabung sama tktok jadi jarang belanja disini,karena promonya sedikit sekali.apa sengaja dibikin kayak gini biar kalah dengan sebelah. vouchernya juga sedikit dan gak kepake gak kayak dulu.",2
bagus,5
bagus tenan,5
"gmn sih buat ngehubungin kurirnya kok ga ada, paket di aplikasi udah di Terima, pdhl belum",1
kerennn aplikasi buatann indonesiaaa!!!,5
"baru saja berlangganan plus tapi malah eror, metode pembayaran tidak bisa diubah",1
totur,3
baru pake aplikasi tokopedia lebih gampang dan slalu amanah,5
"masih, pelayanan yg sangat buruk",1
selalu jadi belanja lebih mudah hemat dan praktis,5
Pengalaman buruk di Tokopedia,1
refund ongkir gak dibalikin buset 😂,1
"signalnya jarus pilih yang kuat, kalau di desa lemmod",2
baik,5
bestpromo Banyakin kak,5
okee,5
mau checkout barang malah pin point di maps malah ngasal atau random ke rumah orang lain pantes aplikasi nya buruk banget,1
lumayan,5
Banyak seller yg cuek ketika di tanya masalah barangnya padahal kondisi sudah membayar,2
Coba Saya Kasih Bintang 5 Umpama Proses Mudah Saya Lanjut Bintang 5,5
Goodd,4
"banyak toko palsu udah di order gak di kirim kirim ,udah 3 kali order hp gak di kirim kirim",4
terlalu banyak penipu,1
"sejauh ini udah baik,cuma banyak kendala di mitra ekspedisi aja suka telat jauh dri estimasi",5
"tolong campaign shake shake nya dihapus aja atau diperbaiki , hp kondisi ga dishake kok mengarah ke campaign shake shake bikin ribet aja",4
"lebih hemat belanja di toko pedia , gak nyangka belanja online semurah ini",5
"kalau pengalaman gua di toko in? lambat pengirimannya g KY TT? kalau bs sih gua reting0 nga ad perubahan dr kemarin sy beli paket lama, udh 4kalli terlambat mul",1
komplain bikin ribet udah 8 hari sejak barang di Terima penjual masih status komplain,1
terimakasih prosesnya cepat negosiasinya,5
semakin gak jelas,2
"bayak toko yang gak kirim barangnya,tokonya di chet gak ada respon",1
"banyak produk yg sudah habis, tapi masih tampil. sudah order ternyata habis, dana tidak bisa langsung kembali. harus nunggu 3 hari. tolong di tertibkan seller yang stok habis masih ada di daftar produk.",1
👍,4
Tidak membantu di Saat ada kendala pembelian,1
mantap,5
"Aplikasi nya aneh. Katanya dapat kupon. Tapi harus belanja dulu. Setelah belanja, kuponnya tiba-tiba menghilang begitu saja. Aneh banget. Lapor ke Tokopedia Care juga ngga membantu. Kesannya mereka sendiri juga bingung. Gimana sih? Penipuan kah ini? Dipaksa belanja secara tidak langsung?",1
"lapor, barang flash sale ngga bisa di klik detailnya.",5
mantab,5
apalah,4
"tokped memberikan pelayanan yg cukup memuaskan konsumen, semoga makin kredibel.",5
Komplain bukan masalah yng selesai malah duit nya yang hilang,1
komplen terlambat g ada proses smaa sekali,1
mntap,5
Tokopedia care tidak berguna. Tidak aktif,1
g mntap,1
"Tokopedia sekarang ongkirnya agak murahh (gratis ongkir jugaa), dan terhubung sama tiktok shop sm gopay.... Tapi tolong adaiin penilaian kurir atau pilih expedisi sendiri, makasihhh.... Mantap pokonya tokopediaa, elektronik sering adaa diskonn",5
mantap,5
"baru ngajukan di gopay pinjam nya sudah ditolak , tidak hapus data , tolong hapus data saya karna saya tidak ada pinjaman , jika terjadi sesuatu saya tidak bertanggung jawab ... jadi saya unistall apk nya",1
bagus,5
transaksi cepat dan pengiriman tepat waktu,5
mantap bagus bagus dan mulus,5
ok,5
proses cukup mudah utk usia manula,5
keren gak ribet,5
tokopedia pengiriman menggunakan jne pengiriman lama blacklist aja jne pelayanan dan pengiriman sangat buruk,1
sangat cocok untuk saya,5
good banget,5
g dpt diskon pengguna pertama👎👎,1
sangat membantu,5
sabgat membantu,5
kurir rekomendasi Tokopedia sampah,1
ongkirnya pada mahal ga tau barangnya,3
"Saya belanja di toko orens ga pernah kena tipu, sekali belanja lagi di tokopedia langsung kena tipu. Saya ajukan komplain tidak bisa. Customer lain tolong lebih hati-hati belanja di sini",1
"maaf saya kasih bintang 2 Tokopedia makin lama makin pelit gratis ongkir, padahal sy sudah lama member Tokopedia semoga Tokopedia berani seperti toko online sebelah terutama promo dan ongkir nya 👍💪",2
kalau bisa cepat kirimnya,5
terimakasih Tokopedia mudah mudahan jadi tempat berbelanja onlen yg amanah dan terpercaya,5
Updatean sekarang jadi lebih banyak buffering,1
"Makin ke sini, makin mahal pengiriman luar pulau jawa. Padahal dulu sering gratis ongkir 0 rupiah",3
"aneh aplikasi sebesar ini tidak ada live chatnya , kecewa saya beli di sini sangat menyesal , beli pempers datang softcash , komplen ke pihak tokpednya , malah tidak ada repon , usahain adain live chat nya seperti aplikasi lain , bintang 1 buat tokped",1
skrg makin jelek.. toko terakhir online ga keliatan.jadi makin membingungkan klo mau belanja..sisa saldo toped ga bs di gabung buat pembayaran.jd saldonya ngendap,2
"lemot, server eror 1 minggu ga sembuh2. kacaw parahh",1
menysahkan pembeli,1
"buset dah, ekspedisi tokopedia ini, gak satset, lama banget pengiriman nya, di sebelah mah 2-3 hari udah sampe, ini lewat seminggu gak gerak gerak, disitu aja gak ada pergerakan",5
GOOD,5
"sekarang tokped makin aneh, terlalu membodohi penggunaan, harga tidak sesuai ketika di checkout.",1
HATI2 DI TOKO PEDIA BANYAK TOKO MALING DAN PENIPU.. TGL 16 APR 2025 SU MELAKUKAN TRANSAKSI BELI SHOWCASE 2 PINTU DI TOKO JAROTSTIREE... MODUS NYA SBB.. SY CHEK OUT.. TRUS SY BAYAR.. SELANG 1 HARI ADA PIHAK ADMIN TOKO YG WA SY MENGINFORMASIKAN BARANG SIAP DIKIRIM TP SY DIMINTA MERESPON WA DARI AGEN DISTRIBUTORNYA..SINGKAT CERITA DISITU SY DIMINTA ISI LINK ASURANSI . DIMANA SALAH SATU NYA MENGISI KODE OTP.. ALHASIL UANG SAYA LANGSUNG HILANG. SETELAH PENJUAL MELAKUKAN PEMBATALAN TANPA KONFIRMASI..,1
KOK GA DAPET VOCER PENGGUNA PERTAMA YA??? MANA CS NYA LAMA BANGETTTT BANGETTT BANGETTTT,2
saya sagat senag bisa berbelanja degan murah,5
ok,5
"bagi-bagi voucher bodong, sudah di klaim tetapi tidak masuk. penipu !!!!",1
semoga di ACC gopay later,5
mudah untuk bertransaksi,5
mantap,5
"Kurir rekomendasi tidak ada pilihan opsi. Kurir rekomendasi sengaja diset oleh pihak tokopedia. iya kalau kurir rekomendasi bagus & aman ngak papa, lah ini paket saya dinyatakan hilang, yg satunya paket datang melebihi waktu estimasi. dan pernah paket dinyatakan selesai padahal paket belum sy terima, anehnya pihak toped memberi wewenang pada kurir untuk teken selesai, sungguh bobrok sistemnya. Hati² yg dikirim via kurir rekomendasi ID EXPRESS.",1
saat kami pembeli ada kendala dgn penjual toko pedia tdk memberikan solusi malah diam,1
SUMPAH. BANYAK TOKO PENIPU.. Pihak tokped jg nggak membantu sama sekali.. jika anda pembeli ditoko penipu 100% UANG ANDA TIDAK KEMBALI. Dan kalian tidak bisa mengirim barang kleam karna alamat tidak lengkap.. pihak tokped Tak ad responn👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 TOKOPEDIA👎🏻 PELAYANAN BURUK.. PINDAH KE SHOPPE /LAZADA aj..,1
Bagus untuk saya,5
halo min kenapa sekarang mau buka toko di Tokopedia malah di alihkan ke tiktok seller mohon solusinya saya mau bikin toko di tokped aja🙏,5
yg aku ska dari tokped kl barang cancel uang otomatis lngsng balik ke ewalet/banking tanpa harus cek cok barang heheh,5
"aplikasinya ribet, masa pengembalian barang ke seller hrs buyer yg input resinya. aneh. tidak aman belanja disini, pengembalian susah. chat cs juga lama responnya, mana gajelas jawaban",1
bagus,5
kenapa tidak ada opsi HAPUS di ulasan dalam aplikasi?,3
ok,5
tokopedia terbaik dan mudah,5
"pusat resolusi tim tokopedia care selalu memberikan keputusan yang tidak adil, kalo hal sepele gini aja selalu terjadi, kebangkrutan pun akan terjadi, camkan !",1
lemot deh sekarang appsnya,1
Luar biasa,5
tolong untuk Brantas akun toko² baru yg menjual barang sampai 1000++ tetapi memakai foto template min,3
"Belanja sekali...lelet nya minta ampun... Aplikasi,ya kurir....sama sama b*b**k Kapok dah........pesan barang yang bagus ..(premium) di kasih penjual barang lain merk, kualitas jauh di bawah nya....terpaksa mengembalikan...proses lama.....habis waktu ,tenaga ....lumayan melelahkan....😭 masih ada saja seller yang kurang amanah...pesan apa...di kirim apa...?(tidak sesuai pesanan) perlu di tegur/di kasih peringatan kali ya...🤣🤣.",1
tulisannya kok jadi kecil-kecil bangke,1
sangat membantu dan sangat terpercaya👍👍👍👍👍👍👍👍👍,5
sll mudah di Tokopedia ini . saya suka banget,5
bagus,4
pengembalian barang & dana lama udah 1 Minggu belum ada kepastian apa harus nunggu 1 tahun,1
"dapat voucher gajian diskon 55% sd 50 ribu tapi gk bisa di pakai kalau gk niat kasih voucher mending sekalian jangan adain eventnya. dulu bangga pakai Tokopedia karena e-commerce buatan anak bangsa tapi semenjak di akuisisi tiktok jadi hancur, dan berubah jadi kapitalis sekarang tidak ada yang bisa dibanggakan lagi dari Tokopedia",1
Jangan Khawatir Belanja Aja di Tokopedia Harga Semakin Murah Kualitas Terbaik Tanpa Ribet Tanpa Masalah Makin Cocok Aku Suka Tokopedia Oke Sip!,5
muasok maszeh,5
ok aja ...,4
baru x ini gw blanja online ke tipu mana uang gw ga bisa balik,1
baik,5
"kenapa tidak bisa sya mau pake blnja limit sy kenapa gagal terus , di apl tokped sdg kn di apl tiktok bisa ,, sudah di coba update hpus cache ganti hp ttep ga bs .",1
kalau belanja di tik tok selalu cepet datang nya,5
good,5
"untuk kurir agar diberikan pilihan yang tersedia, atau dimasukkan filter pencarian supaya user lega, tidak menyalahkan tokopedia",4
dana pembatalan pesanan ilang sebagian.padahal tidak di pakai.di komplen di tokopedia care tidak ada respon,1
aplikasinya sangat bug mohon di perbaiki,2
Ongkir nya mahal & promo nya kurang menarik,3
"semakin lama semakin kere,gak ada gratis ongkir...gembel",1
jadi lebih baik dari pada harus ke pasar,5
semua rating yang dijual itu setingan,1
platform tokped dan tiktok shop udh ok hanya saja d bagian ekspedisi nya bnyk barang yg GK sampai k customer padahal customer nungguin paket nya...tp tiba2 malah jadi retur tolong di benahi bagian pengiriman nya,5
Makin murah aja ...,5
pengiriman lamban,1
"banyak toko bermasalah, retur barangpun customer rugi karena saldo pengembalian dikurang ongkir, kapoklah pake apk ini",1
"cara belinya ternyata gampang, kukira susah",5
update malah blank,3
"udah pesan beberapa barang tp secara otomatis di btal kan oleh penjual....dn uang masuk saldo tokped..,, ketika mau tarik saldo baru sadar klu akun tokped yg aku pake masih pake no hp lama yg ilang ..udah ngajuin beberapa kali ganti nomer hp .gak pernah bisa segala cara gw coba tetep gak bisa gw pake belanja lagi pun tetep gak bisa sbb harus konfirmasi ke no hp lama ....rasa nya Ongen nangiis...apalagi saldo gw lumayan banyak..😭",1
Berkali kali dikecewakan dengan kurir rekomendasi yg ditunjuk tokopedia.. Pelayanan komplain costomer pun hanya system robot yg balas.. Gak ada solusi dari manusia manusia hidup yg ada di tokopedia..,1
putri Abigail napitupulu putri,5
bagus sekali,5
kerennn,5
Baguss,5
aplikasi bagus udah lama daftar tp sering ganti nomer jd akun jg ganti,5
mohon maaf tapi paket saya sudah berulang kali di kirim eh balik lagi di simpan ke gudang nya seperti itu terus tanpa kejelasan saya chat penjual gk ada respon samapi saya mau keluar rumah pun gk pernah jadi harus nya bisa dong kita kasih reting buat semua biar enak kasih reting nya ini udah yg jual gk ada respon kurir entah kemana di cancel gk bisa jadi membuat kesal saja udah itu aja y maaf y toko pedia,3
"gua beneran kecewa sama Tokopedia, sengaja gua kasih bintang 5 biar kalian semua tau kalau pas gua tautkan gopay ke Tokopedia, saldo gua dicuri buat bayar google play 154k dan am premium 8k, pdhl apk nya populer kok bisa curi uang receh kek gtu???",5
mantap,5
"yaaaahhh....sekarang boking tiket pesawat nya jadi hilang,hanya tinggal tiket kereta😫😫emang dari kalimantan ke jawa ada kereta😤mending hilangin fitur lain yang gak berguna daripada hilangin tiket pesawatnya😫😫",3
mantap,5
👍👍👍,5
aplikasi paling jelek,1
mantap e-commerce terpercaya dan termurah,5
memuaskan,5
aplikasi ngntot,1
payah voucer diskon gimmick,1
makin update makin tidak bagus masa maksimal beli ga bisa lebih dari 400 mau ubah jumlah yang mau di beli pun susah di refresh terus belum 1 detik ubah sudah di refresh lagi jadi nya susah belanja. kembalikan toko pedia yang lama,1
HATI-HATI belanja di platform brengsek ini!! Gw refund barang dari tgl 12 April sampai hari ini 25 April gak ada KEJELASAN SAMSEK!!! Di info tertulis MAX 24 APR dana kembali tapi sampai sekarang uang gw entah kemana. Prosesnya cuma muter-muter doang dan tanya ke TOKOPEDIA CARE respon LELET dan gak membantu SAMSEK. Gw sebagai korban malah ga dapet keadilan. Pantes mau bangkrut cuih,1
"dari 2021 pakai tokped, baru th 2025 saya beli produk di tipu. sistem retur barang sulit tidak seperti shopee, seller ngga jelas. minta pick up barang retur ga di pick up2, disuruh kirim mandiri alamat ngga jelas cuma kelurahan dan kecamatan doang. ngga ada chat CS yg ada BOT doang. setelah proses retur saya, mau dikembalikan / tidak uang saga, saya akan UNINSTALL si tokped ini.",1
"tolonglah development nya gimana ini. pengguna coin nya gak bisa padahal belanja 150k lebih tapi coin nya gak bisa dipakai pdahal ada 85k. coba ditingkatkan lagi lah untuk penggunaan coin kayak toko oren noh penggunaan coin bisa 25-50% ini malah gak bisa digunain coin nya hanya toko"" tertentu gimana sih. padahal yg kubeli ditoko udah verif centang tapi coin gak bisa dipakai. ada toko yg bisa dipakai pun cuma bisa sedikit pemakaian coin nya hadehh tolong lah ditingkatkan buar ga kalah sama sebela",4
mantap,5
apk nyaa bagus gratis ongkir pula,5
"Tokopedia kualitas semakin buruk, paket saya diretur ke penjual tanpa alasan yang jelas padahal saya udh sabar menunggu. Kita komplain penanganan lambat. Pengembalian dana tdk 100% mcm Shop**. Kecewa deh🙂 Langsung uninstal ☹️",1
bagus,5
"Aneh bgt ya belanja lgsg bayar sama cod , byar lgsg kirimnya lama tapi klo Cod kirimnya cepet",5
mantap,3
cs tokopedia sangat buruk!,2
terdapat kendala diley saat kita menekan daftar belanja padahal jaringan sangat bagus,4
Kenapa liat2 produk terus ke scroll ke atas lagi. Dari ganti hp baru sama aja kek tahun lalu,1
banyak bgt promo loveeee bgtt♥️♥️♥️♥️,5
buka chat nya error terus jadi ga bisa baca chat ke penjual,1
"Refund dana pembatalan/komplain retur hrs tunggu 14hari kerja belum masuk!! Sejak ditinggal founder tokped kok jd begini? jarang kasih vc diskon. Refund biaya daftar kartu debit gk pernah ada ! Alasan refund jg opsi terbatas. Pembatalan nunggu otomatis lama sementara penjual masa 😵bodoh, belanja ingat hrs chat dulu. Klaim asuransi makin ribet hrs isi form dan KTP asli. Adm Dylan jg kurang bs memberi solusi memuaskan. Cs ada telp tp gk kasih kompensasi ataupun perubahan trus gapain sih telp?!",2
"sdh bbrp bulan ini gak belanja2 lagi d sini. ongkirnya sudah terlalu hebat. dtulisan grtis ongkir, pas checkout masih kena juga. dluminimal beli 50rb dpt grtis ongkir dan beneran dpt. seandainy jg msh kena ongkir biasanya masih d bawah 10 rb. skrg. belibarang 50rb ongkirnya separoh dari harga barang.... kan sdh d luar nalar.. dtunggu tunggu bbrp bulan msh aj gk berubah. wkwkk.. hrgsdh sama dg toko offline",1
"kecewa pesanan nya gk bisa di batalkan padahal baru pesan, belum dikirim jadi trauma belanja di Tokopedia",1
"Saya pengguna baru , kecewa download tokopedia , mau beli barang tapi tidak bisa di proses Terpaksa saya hapus",1
"proses claim refund dananya lama sekali,gara2 saler nakal,ngirim barang rusak,padahal barang sudah dikembalikan,tpi saler tidak korporatif di tambah sistem dari toped berbelit2 nunggu pihak saler kinfirmasi penerimaan barang,sedangkan lacak barang sudah sampai,sistem refund yg lama,ditambah saler nakal..tidak spt toko sebelah,sampai sekarang tidak ada kejelasan dana refund saya",1
tkopediaa tloong respoon syaa yaa urusiin maslaaah yg syaa punyaa syaa belii minyaak syuur yg harga nya lumayaan yg dataang casing syaa tlah d tipu oleh seller dan syaa mmintaa pihak tokopediaa bantu urus malaah danaa saya di tahaan knapaa caraa kerjaanya sprtii ituu ?sdangkan yg syaa punyaa laagii 2 minyaak d tipu laagi casing laagii hnggga detikk ini tdk adaa kjlaassn dri pihak kliaan mmng buat kliaan uang syaa sdikit tapi bagi syaa itu besar krnaa sya punya anaak tlong uang syaa kmbalikn,2
baik,5
aplikasi gak jelas,1
Excellent,5
ok,5
saya berharap datang nya cepat...dn barang nya ori..ya min,5
skrng ga ada lg platform yg harga jd murah😁😄,5
mantab jaya,5
Proses cepat.,5
tokopedia Mantaf,5
oke,5
TOLOL,1
"Happy sekali, selain belanjanya lebih gampang dan ga ribet, sekarang pembayannya bisa pake QRIS. Jadi gampang banget kalo mau beli apa-apa, ga ribet dengan admin♥️♥️♥️",5
aplikasi lengkap dan sangat bagus,5
"hati2 kalau sudah mulai komplain pembelian disini, ada cf namanya aruna gak perduli masalah dikomplain yg penting minta video unboxing",1
"Menambahkan saran, dan untuk SEGERA DIBENAHI ! kalau bisa opsi pengiriman MULTI KURIR DIHAPUS karena pengiriman jadi sangat lama, dan sangat merugikan konsumen tokopedia itu sudah kalah dg shopee dalam hal promo2 gratis ongkir dsbnya, masa ini mau kalah lagi soal masalah pengiriman, dalam hal pengiriman sangat jauh dg SPX Express !!",1
sangat membantu berbelanja,5
sangat memeudahkan transaksinya,5
"Barang sampai, Transaksi selesai, pembeli gak ada masalah, sekarang saldo di tahan... Tokopedia care respon lelet & gak jelas, dana di tinjau dengan alasan tidak jelas",1
"langsung uninstal setelah pesanan terakhir datang, tidak rekomendasi untuk kurirnya. pesanan terlama selama belanja online..",1
makasih,5
"sumpah ni aplikasi jual beli tolol bet.. lama banget verifikasi nya, keamanan si keamanan tapi ga lama gitu asuu",1
keren,5
Nambah kesini nambah jadi sampah nih aplikasi,1
"pengiriman sesama malang sdh 10 hari, tidak sampai2, mau komplain tanggal diundur",1
ok,5
sering terjadi eror,1
"lay out tokopedia bikin bingung terutama transaksi, keranjang, sama chat, aneh lu pe'a, jadi tolol pas dibeli tiktok",1
disarankan untuk tidak kerjasama dengan ekspedisi jne itu ekspedisi sampaha,4
"Ongkir tokopedia ke Raja Ampat 60% Sangat Mahal, Sangat beda Jauh dengan Marketplace lainnya Sangat Banyak Lapak penipuan di tokopedia, Mohon ditinjau dari segi harga yg ditawarkan jauh dibawa harga barang dan Biaya kirim yang ditawarkan Sangat murah Semua pengiriman dihitung berdasarkan berat dan ukuran kubikasi, pertanyaannya kok kenapa sangat beda jauh dengan marketplace lainnya?",1
jossss,5
Mantap terbaik,5
"kecewa proses pembatalan pesanan jadi susah, cekout barang pengiriman instan jam 09.00 penjual langsung di proses tetapi barang tidak dikirim2 sampai tenggang waktu 21.00 tgl 24, setelah lewat bukannya otomatis batal malah mundur ke 21.00 tgl 25. pesanan di proses tetapi di chat tidak direspon 🤬😡",1
Kupon hanya berlaku untuk produk tertentu. Produk yang dimaksud mungkin produk yang belum diupload. Berhasil klaim kupon tapi gak muncul saat mau checkout. Separah itukah Tokopedia sekarang? Saya lihat icon burung tokopedia kayak melas sekarang ekpresinya.,2
sangat membantu,5
itu fitur gratis ongkir sekarang cuma jadi pajangan doang? saya perhatikan udh berminggu-minggu gak berfungsi. kasihan Sealer udah bayar,1
sangt membantu,5
tidak bisa menghapus history chat,3
bagus,5
"sekarang kupon hanya gimik doang, dah ga kaya dulu real beneran diskon, dah males gw ah",1
oppss,5
"Pesanan gua di embat, pembayaran lewat dana ,dari tanggal 4 april sampai tanggal sekarang ,belum dikirim",1
"aplikasi banyak bugnya, mau melakukan pembayaran tapi error mulu",1
"ni aplikasi gak ada CS nya (orang), yg bales sistem/robot, jika terjadi keluhan gak ada yg bisa ngasih solusi, penangan lama banget.. kapok belanja disini..",1
penjual tidak jelas. Cs dichat gaada jawab. rugi waktu aja,1
ok,5
gw beli lego terus di batalkan sama sistem dengan alasan 1.membeli barang terlarang (gak manuk akal) 2.menggunakan 2 akun atau lebih(akun gw cuma satu) 3.mencuri data pribadi orang lain,1
cukup membantu,5
Tokopedia sangat keren dalam layanan nya,5
Ok semoga lebih baik dan amanah,4
Good,5
"banyakin promonya dong. Sudah lama gak ada diskon potongan, yang ada cuma gratis ongkir",3
susah banget download nyah,2
"terlalu banyak loading , kurang pengawasan barang beda dari foto, cada refund /pengembalian ribet dan gak jelas",1
banyak penipu berjualan ditokopedia dan begitu anda tertipu tokopedia sulit memberikan solusi..merugikann,1
bagus cepat,5
gima sih di internet iklan tokopedia bandel banget sampe di alih alih kan buat download aplikasi tokopedia. nganggu banget,5
parah bgt sering belanja di toko pedia padahal tapi gak dapet playleter,1
kok saya sering di cansel mulu ama pedagang nya mana udah 2x di cansel padahal saya udah bayar alamat real ga fiktif gimana sih,1
"kenapa yaa, toko yang jualan tembakau pada di banned semua sama tokopedia, ada apa gerangan",2
"woy tokopedia barang aku ketipu, bisa di banned gak",1
aplikasi buruk 😡😡😡👎👎👎,5
kerenn,5
oke siip,5
Memang toko online yang bikin kesal sajaaaaaaa,1
mantappp,5
lag mulu,1
"Alhamdulillah barang nya bagus, dan kirimannya juga cepat sesuai pesanan...👍👍👍 Tapi makin banyak toko online chat gak dibales giliran diorder seminggu pesanan digagalkan gak jelas... barang di cek masih banyak gimana sih...",2
Saya merasa dipermainkan setelah melakukan pembayaran dengan virtual bank yang di pilih... Ternyata pihak seller tidak mengirimkan barang yg dipesan... Dan hal ini sudah saya laporkan ke pihak tokped... Namun blm ada tanggapan sama sekali... Bahkan sampai hari terakhir batas pengiriman... Pihak seller masih menjanjikan hal2 manis... Dan tetap tidak mengirimkan barang yg sudah dipesan... Saya berharap ada tindakan tegas terhadap seller/penjual di tokped agar Pembeli merasa nyaman saat berbelan,1
jangan belanja di tokoed lagi ges belanjaa gw tiba² di batalkan sistem dan dana refund tak kunjung cair?!!! waspada semua,1
"yth TokoPedia, kalau untuk lebak banten jangan pakai kurir JNE suka lemot gk kepakai disini,barang sudah dikantor sampai seminggu gk dikirim kirim.paling di jemput sendiri kekantor",4
bagus,4
lama lama males belanja di sini ikutan mwmber / langganan plus .tidak ada beda nya sama saja masih di kenakan ongkir .perlu di garis bawai bukan bermaksud tidak mau di kenakan ongkir melainkan fungsi member/ langganan plus untuk apa klau masih saja di kenakan ongkir. beda sama oren . ikutan member / langganan VIP .tapi jelas dan nyata di bebaskan ongkir. di semua toko mau beli dikit banyak tetep gratis ongkir. klau di sini cuma gimix / embel embel.,1
"gk jelas penyelesain komplinx, sampai 10 hari, hadehhhh",1
mantap Joss belanja online terpercaya,5
baru masuk .. blanja 2 kali kena tipu ... aplikasi ga recomended... uang saya masih ketahan ga bisa diambil ada 2 toko penipu namanya NIAT99 & VIANDRA .. keduanya sdh banyak melakukan penipuan dan masih bisa jualan di TOKOPEDIA .... aplikasi membagongkan... ga layak LAZADA atw SHOOPY. kecewa berat gua ama aplikasi ini,1
lumayan mantap,5
"Aplikasi tercacat yang pernah saya pakai, tidak mau mendengarkan keluhan konsumen",1
habis chekout dapet vocer pas mau dipake belanja keterangannya malah promo tidak berlaku .. gak niat ngasih vocer mending gak usah ngadain vocer .. mulai² kaya toko sebelah ni apk ... mulai bermunculan seller penipu nya,1
"mohon untuk ongkir jangan terlalu mahal banget supaya banyak peminat nya, ini saran saya",4
kenapa tokped sekarang ekpedisinya lamaaa..😭😭,2
belanja apapun lebih mudah disini,4
aku download apk ini cuma pengen lihat harga doang bukanya ga mau beli tapi duit ku ga ada 😭,5
"cs Tokopedia ga berfungsi, pengiriman lama",1
mantul,5
mantap,5
